!!SBtab TableType='rxnconContingencyList' TableName='ContingencyList',,,,,,
!UID:Contingency,!Target,!Contingency,!Modifier,!Reference:Identifiers:pubmed,!Quality,!Comment
67,<Ste5Ste50Ste11Ste7Fus3>,AND,Ste5@2--Ste11@4,,,
68,<Ste5Ste50Ste11Ste7Fus3>,AND,<Ste5-Dimer>#Ste5@2=Ste5@1#Ste5@3=Ste5@2,,,
69,<Dia2ScfComplex>,AND,<ScfComplex>#Cdc34@2=Cdc34@1#Cdc53@3=Cdc53@2#Hrt1@4=Hrt1@3#Skp1@5=Skp1@4,,,
70,<Dia2ScfComplex>,AND,Dia2@1--Skp1@5,,,
71,<Cyc8Tup1>,AND,Cyc8@1--Tup1@2,,,
72,<GTPCdc42>,AND,Cdc42@1--GTP@2,,,
73,<AFactorSte3Asg7>,AND,<AFactorSte3>#Mfa12@1=Mfa12@1#Ste3@2=Ste3@2,,,
74,<AFactorSte3Asg7>,AND,Asg7@3--Ste3@2,,,
75,<Ste4Ste18>,AND,Ste4@2--Ste18@1,,,
76,<GDPCdc42>,AND,Cdc42@1--GDP@2,,,
77,<Bem1GDPCdc42>,AND,<GDPCdc42>#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,
78,<Bem1GDPCdc42>,AND,Bem1@1--Cdc42@2,,,
79,<Bem1GTPCdc42Cdc24Far1Ste4Ste18>,AND,<Cdc24Far1Ste4Ste18>#Cdc24@4=Cdc24@1#Far1@5=Far1@2#Ste18@6=Ste18@1#Ste4@7=Ste4@2,,,
80,<Bem1GTPCdc42Cdc24Far1Ste4Ste18>,AND,<Bem1GTPCdc42>#Bem1@1=Bem1@1#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,
81,<Bem1GTPCdc42Cdc24Far1Ste4Ste18>,AND,Bem1@1--Cdc24@4,,,
82,<Bem1GDPCdc42Cdc24Far1Ste4Ste18>,AND,<Cdc24Far1Ste4Ste18>#Cdc24@4=Cdc24@1#Far1@5=Far1@2#Ste18@6=Ste18@1#Ste4@7=Ste4@2,,,
83,<Bem1GDPCdc42Cdc24Far1Ste4Ste18>,AND,<Bem1GDPCdc42>#Bem1@1=Bem1@1#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,
84,<Bem1GDPCdc42Cdc24Far1Ste4Ste18>,AND,Bem1@1--Cdc42@2,,,
85,<GDPRsr1>,AND,Rsr1@2--GDP@1,,,
86,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,<Cdc24GTPRsr1>#Cdc24@2=Cdc24@1#GDP@3=GDP@1#Rsr1@4=Rsr1@2,,,
87,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,<GDPCdc42>#Cdc42@5=Cdc42@1#GDP@6=GDP@2,,,
88,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,Bem1@1--Cdc42@5,,,
89,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,Cdc42@5--Rsr1@4,,,
90,<Mcm1Matalpha1>,AND,Matalpha1@1--Mcm1@2,,,
91,<Mcm1Matalpha2>,AND,Matalpha2@1--Mcm1@2,,,
92,<Bcy1Tpk1>,AND,Bcy1@1--Tpk1@2,,,
93,<Bcy1Tpk2>,AND,Bcy1@1--Tpk2@2,,,
94,<GTPGpa1Ste4Ste18>,AND,<Ste4Ste18>#Ste18@3=Ste18@1#Ste4@4=Ste4@2,,,
95,<GTPGpa1Ste4Ste18>,AND,Gpa1@2--Ste4@4,,,
96,<GTPGpa1Ste4Ste18>,AND,Gpa1@2--GTP@1,,,
97,<Cdc28Cln1>,AND,Cdc28@1--Cln1@2,,,
